assignee
Anhui Masteel Surface Technology Co., Ltd.
Shaoxing Yueyuan Technology Co., Ltd.
China Petroleum & Chemical Corporation
Tianjin Sian Chay Hongxing Technology Development Co., Ltd.
Yiwu Quanxi New Material Co., Ltd.
Xiwan Science City (Guangzhou) New Materials Co., Ltd.
Nanjing University
Shandong First Medical University (Shandong Academy of Medical Sciences)
Wuhan Douyu Network Technology Co., Ltd.
Sichuan Dijiatong Electronics Co., Ltd.
Henan University of Science and Technology
Zhejiang Supor Home Appliance Manufacturing Co., Ltd.
Qualcomm Incorporated
East China Normal University
Shenyang University
Apoca -Agricola Joint Stock Company
Pearl River Fisheries Research Institute, Chinese Academy of Fishery Sciences
Xiamen Baiou Technology Engineering Co., Ltd.
Beijing University of Posts and Telecommunications
KT Co. , Ltd.
Spreadtrum Communications (Shanghai) Co., Ltd.
Panasonic Intellectual Property Management Co., Ltd.
Xi'an Beidou Security Technology Co., Ltd.
Shenyang Meixing Technology Co., Ltd.
Wenzhou Vocational and Technical College
Wu Yan
Chengde Road and Bridge Construction Corporation
Beijing industry university
Lenovo (Beijing) Co., Ltd.
Shenzhen Keyi Design Service Co., Ltd.
BOE Technology Group Co., Ltd.
Shanghai Hongyan Logistics Technology Co., Ltd.
Guangdong University of Technology
Li Shuangquan
Jinhua Celebrity Art Packaging Co., Ltd.
Guangzhou Power Supply Bureau Co., Ltd.
Dalian Institute of Chemical Physics, Chinese Academy of Sciences
Tang Zhimin
Yiwu Danhang Technology Co., Ltd.
Maipu Communication Technology Co., Ltd.
Northwestern Polytechnical University
Nanjing Fudao Information Engineering Co., Ltd.
Sony Corporation
Wuhan University of Technology
Maanshan Iron and Steel Co., Ltd.
Shanghai Aerospace Electronics Co., Ltd.
Southeast University
South China Agricultural University
Fengzhi (Shanghai) New Energy Technology Co., Ltd.
Tencent Technology (Shenzhen) Co., Ltd.
Hui'an Duodianqiyou Information Technology Co., Ltd.
Suzhou Saishuola Stainless Steel Products Co., Ltd.
Railway Construction Research Institute, China Academy of Railway Sciences
Shanghai University
Beijing Megvii Technology Co., Ltd.
Rao Kui
LG Electronics Co., Ltd.
University of Shanghai for Science and Technology
Yangjiang Sunway Automobile Industry Co., Ltd.
Li Yibo
Alibaba Group Holdings Limited
Boxing Xingye Intelligent New Material Co., Ltd.
Eaton (Italy) Ltd.
Anhui University of Science and Technology
Jiaxing Mite E-Commerce Co., Ltd.
Zhejiang Industrial Vocational and Technical College
Toyota Motor Corporation
Sichuan Cancer Hospital
Dongguan Qihai Xiuri Electronic Technology Co., Ltd.
Huawei Technologies Co., Ltd
lianhua electronics co., ltd.
Institute of Optoelectronics, Chinese Academy of Sciences
Wuxi Little Swan Electric Co., Ltd.
Jilin Agricultural University
China Agricultural University
Harbin Kanglong Pharmaceutical Co., Ltd.
State Grid Jiangsu Electric Power Co., Ltd. Zhenjiang Power Supply Branch
China Mobile Communications Group Jiangxi Co., Ltd.
Nantong university
Peking University Shenzhen Graduate School
Zhuhai Gree Electric Appliances Co., Ltd.
Canon Inc.
Liu Xinyu
Shanxi Dingxiang Tengda Forging Co., Ltd.
Zhejiang Otto Electric Co., Ltd.
Samsung Electronics Co., Ltd.
Zhenjiang Yaohao Electrical Equipment Co., Ltd.
AUO Optoelectronics Co., Ltd.
Guangzhou Deli CNC Equipment Co., Ltd.
Huawei Technologies Co., Ltd
Jinling Institute of Technology
Innovation Advanced Technology Co., Ltd.
Xiamen Sanan Optoelectronics Co., Ltd.
Harbin Institute of Technology
Ningbo Deteng Industrial Design Co., Ltd.
Goofy
Anhui Haoding Metal Products Co., Ltd.
Shandong Guosheng Environmental Technology Co., Ltd.
Huawei Technologies Co., Ltd
Bestune Laser (Wenzhou) Co., Ltd.
Beijing Bobby Wind Power Technology Co., Ltd.
Dongguan Xinma Bochuang Ultrasonic Technology Co., Ltd.
Suzhou Fengshen Elevator Parts Co., Ltd.
Beihang University
Shanghai Children's Hospital
Changsha College
Shanghai Yisheng Industrial Co., Ltd.
Tencent Technology (Shenzhen) Co., Ltd.
Shanghai Tianma Microelectronics Co., Ltd.
Nanjing University of Posts and Telecommunications
China General Nuclear Power Co., Ltd.
Nanjing University of Aeronautics and Astronautics
Radium Asia Electronics (Suzhou) Co., Ltd.
Zhongzi Environmental Protection Technology Co., Ltd.
Wang Chaoqiang
Chongqing Sewang Huabao Biotechnology Co., Ltd.
Tsinghua University
Baoji High-tech Zone Sanhe Special Metal Material Factory
RUSAL Engineering Technology Center LLC
Tongji University
International Joint Research Institute of Carnegie Mellon University, Sun Yat-sen University, Shunde, Guangdong
Yiwu Ruisheng Pen Industry Co., Ltd.
Hangzhou Aichi Engineering Vehicle Co., Ltd.
Beijing Institute of Technology
Kunming University of Science and Technology
Fengtai County Nongpan Rice Machine Insertion Service Professional Cooperative
Shanghai Jiaotong University
Hangzhou Deep Technology Co., Ltd.
China Nuclear Power Research and Design Institute
Lin Chao
Jiangsu Power Transmission and Transformation Co., Ltd.
Changzhou University
Shanxi Xinhua Chemical Defense Equipment Research Institute Co., Ltd.
JA Solar (Yangzhou) Solar Technology Co., Ltd.
Vosges Group Co., Ltd.
China Telecom Corporation Limited
State Grid Corporation of China
Chengdu Ideal Zhimei Technology Co., Ltd.
Contemporary Marine Biotechnology (Shenzhen) Co., Ltd.
Guangzhou Huaduo Network Technology Co., Ltd.
China Telecom Corporation Limited
Beijing Zhongdianke Electronic Equipment Co., Ltd.
Merck Patent Co., Ltd.
Foshan Aoting Environmental Equipment Manufacturing Co., Ltd.
Shanghai AVIC Optoelectronics Co., Ltd.
OPPO Guangdong Mobile Communication Co., Ltd.
City Life (Beijing) Information Co., Ltd.
Song Wei
Guanghan New Century Petroleum Machinery Co., Ltd.
Tongji University
Harbin Institute of Technology
CRRC Qingdao Sifang Rolling Stock Co., Ltd.
SMIC Integrated Circuit Manufacturing (Beijing) Co., Ltd.
Chongqing University of Posts and Telecommunications
Zhejiang University of Technology
Lingong Group Jinan Heavy Machinery Co., Ltd.
Xiamen University
Hefei Hongli Zhixin Auto Parts Manufacturing Co., Ltd.
Kunshan Guoxian Optoelectronics Co., Ltd.
Jiangsu Academy of Agricultural Sciences
Hunan Sany Kuaiju Residential Industry Co., Ltd.
Tang Jing
Beihang University
Jingxian Gusheng Information Technology Co., Ltd.
Zhejiang Normal University
Yantai Automotive Engineering Vocational College
Yiwu Anhang Technology Co., Ltd.
Shanghai Wireless Communication Research Center
Xiao Yanmei
Changde Xiangyu Equipment Manufacturing Co., Ltd.
Beijing Huamai Taike Medical Equipment Co., Ltd.
Beijing Institute of Technology
Qingdao Haier Refrigerator Co., Ltd.
Leica Instruments (Singapore) Pte. Ltd.
University of Science and Technology Beijing
Huawei Technologies Co., Ltd
Nantong Chuangyida New Materials Co., Ltd.
Beijing University of Posts and Telecommunications
Hangzhou University of Electronic Science and Technology
Institute of Biotechnology, Gansu Academy of Agricultural Sciences
Xiamen University
Hebei Hanguang Heavy Industry Co., Ltd.
Nan'an Yueqi Machinery Trading Co., Ltd.
Dongyang Guhong Machinery Technology Co., Ltd.
Southwest Jiaotong University
Beco Robotics (Wuxi) Co., Ltd.
SMIC Integrated Circuit Manufacturing (Shanghai) Co., Ltd.
Xinjiang Tianyuan Hi-Tech Aviation Technology Co., Ltd.
Chengdu Tianma Precision Machinery Co., Ltd.
Xiangtan University
Gansu Agricultural University
Audi AG
Hyundai Motor Co., Ltd.
Xiamen Tianma Microelectronics Co., Ltd.
Jiangxi University of Science and Technology
Yiwu Siqi Industrial Design Co., Ltd.
Kunyu Lancheng (Beijing) Technology Co., Ltd.
Infineon Technologies Austria GmbH
China Seed Group Co., Ltd.
Shanghai Sino Telecom Technology Co., Ltd.
Xu Minghao
Chen Xiuli
Kurita Industry Co., Ltd.
Wenzhou Zhengzheng Printing Co., Ltd.
Yangtze River Water Resources Commission Changjiang Academy of Sciences
Drilling Technology Service Co., Ltd.
Xi'an Jingqun Material Technology Co., Ltd.
Jiaxing Jiakong Electrical Equipment Manufacturing Co., Ltd.
University of Electronic Science and Technology of China
Sichuan University
Royal Philips Limited
Zhangjiagang Kangde New Photoelectric Materials Co., Ltd.
Qingdao Chengyang District People's Hospital
Changzhou Second People's Hospital
Chongqing Naly Technology Co., Ltd.
Yangzhou University
Caltech
LG Chem Co. , Ltd.
Sumer Magnetic Electronics (Huizhou) Co., Ltd.
Nanjing University of Science and Technology
Handa Precision Electronics (Kunshan) Co., Ltd.
Liu Wenhua
Dawning Information Industry (Beijing) Co., Ltd.
China Mobile Communications Corporation
Ni Xinye
Toyota Motor Corporation
Hangzhou Wahaha Precision Machinery Co., Ltd.
Yuhuan Environmental Technology Co., Ltd.
Anhui Jianghuai Automobile Group Co., Ltd.
Southern Medical University Shenzhen Hospital
Beijing CCCC Huaan Technology Co., Ltd.
Zhejiang Dun'an Machinery Co., Ltd.
Laiwu Iron and Steel Group Powder Metallurgy Co., Ltd.
Chinese People's Liberation Army University of Science and Technology
Aosheng (Jiangsu) Automation Technology Co., Ltd.
Yanchen Biotech Pharmaceutical Co., Ltd.
Bozhong Precision Technology Co., Ltd.
Panasonic Intellectual Property Management Co., Ltd.
Shenzhen Jinbairui Communication Technology Co., Ltd.
Zhejiang Liguang Motorcycle Parts Co., Ltd.
Jiangsu Regal Artificial Turf Co., Ltd.
Suzhou Taihu Electric New Materials Co., Ltd.
Deere
Zhejiang Crosslink Irradiation Materials Co., Ltd.
Nan'an Laikang Machinery Technology Co., Ltd.
Huawei Technologies Co., Ltd
Gao'an Kexin Agricultural Development Co., Ltd.
Ke Chao
Wuhan Botanical Garden, Chinese Academy of Sciences
huanfa co., ltd.
Hangzhou Huagu Electromechanical Equipment Co., Ltd.
Sanming College
Jiangsu Provincial People's Hospital
Xingtai Vocational and Technical College
Shenzhen Ruiju Technology Co., Ltd.
Zhuhai Gree Electric Appliances Co., Ltd.
volkswagen gmbh
Aerospace Star Technology Co., Ltd.
Nanjing Forestry University
Tianjin University
Guo Jianjun
North China Electric Power University
BOE Technology Group Co., Ltd.
Haining Shiya Textile Co., Ltd.
Huitong Ruichun Tea Co., Ltd.
Jilin University
Wenzhou Ouhai Kaixin Shoes Co., Ltd.
GoerTek Technology Co., Ltd.
University of Science and Technology of China
Qualcomm Incorporated
Yangxian Yonghui Agricultural Industry Development Co., Ltd.
Institute of Chemistry, Chinese Academy of Sciences
Beihua University
Shilian Power Information Technology Co., Ltd.
Intel Corporation
Nanjing Boshi Medical Technology Co., Ltd.
Fuzhou University
Jiangsu Nomaibo Biomedical Technology Co., Ltd.
China Metallurgical Construction Research Institute Co., Ltd.
Henan University of Science and Technology
China Agricultural University
Hu Yingying
Shanghai Institute of Ceramics, Chinese Academy of Sciences
Zunyi Medical University Zhuhai Campus
Ye Chengfan
Dongyang Chunbensen Living Rosewood Furniture Co., Ltd.
Beijing Research Institute of Chemical Industry, China Petroleum & Chemical Corporation
Shanghai Microsatellite Engineering Center
Xi'an Zhongyijian Technology Co., Ltd.
Zhuhai Gree Electric Appliances Co., Ltd.
Zhejiang University
Institute of Hydrobiology, Chinese Academy of Sciences
Mengpai New Materials (Ningguo) Co., Ltd.
Beijing University of Chemical Technology
Yingli Energy (Zhenjiang) Co., Ltd.
Xiangchuang Technology (Beijing) Co., Ltd.
Dawning Information Industry (Beijing) Co., Ltd.
Beijing Institute of Mechanical and Electrical Engineering
Howe Technology Co., Ltd.
Foshan Sunshine Yicai Coating Technology Co., Ltd.
Changchun University of Science and Technology
Tibet Highland Barley Story Biotechnology Co., Ltd.
WL Gore & Associates Co., Ltd.
iFLYTEK Co., Ltd.
Jiangsu Academy of Agricultural Sciences
Huawei Technologies Co., Ltd
Rupan Quantum Technology Co., Ltd.
Samsung Electronics Co., Ltd.
Gaoyou Shunda Power Electromechanical Co., Ltd.
Shanghai Yapeng Biotechnology Co., Ltd.
State Grid Zhejiang Electric Power Company Electric Power Research Institute
Infineon Technologies AG
Hunan University
China Shenhua Coal-to-Liquid Chemical Co., Ltd.
Guangdong Kede Intelligent Technology Co., Ltd.
Xiwang Metal Technology Co., Ltd.
Anhui Baicheng Huitong Technology Co., Ltd.
Xi'an Zhongke Microfine Photonics Manufacturing Technology Co., Ltd.
Dalian Fengtai Insurance Information Consulting Co., Ltd.
Wuxi Dimod Biological Seed Technology Co., Ltd.
University of Science and Technology Beijing
Shandong Chuangpin Information Consulting Service Co., Ltd.
Lixing Hydrogen Energy Technology Co., Ltd.
Hebei Bailong Auto Parts Co., Ltd.
Fujian Normal University
Jiaxing Huichang Plastic Industry Co., Ltd.
Noble Rubber Products Co., Ltd.
Qilu Hospital of Shandong University
Beijing Institute of Precision Electromechanical Control Equipment
Wanhua Chemical Group Co., Ltd.
Huawei Technologies Co., Ltd
Xi'an Jiaotong University
Institute of Computing Technology, Chinese Academy of Sciences
Sichuan Yuconcrete Building Materials Co., Ltd.
Zhuhai Gree Electric Appliances Co., Ltd.
Chengde Tianda Vanadium Industry Co., Ltd.
Institute of Zoology, Guangdong Academy of Sciences
Shanghai Langbo Communication Technology Co., Ltd.
Lixin County Fuya Mesh Co., Ltd.
Beijing Institute of Technology Servo Technology Co., Ltd.
TCL Technology Group Co., Ltd.
Sichuan Sixth Construction Co., Ltd.
Chengdu University of Technology
Da Xinyu
Xidian University
Siemens Healthcare LLC
Qiku Internet Technology (Shenzhen) Co., Ltd.
Telecommunication Research Institute of the Ministry of Industry and Information Technology
Joyoung Co., Ltd.
Institute of Metal Research, Chinese Academy of Sciences
RISKANDA TECHNOLOGY DEVELOPMENT CO., LTD.
Beijing University of Chemical Technology
Xinchang Shibida Precision Manufacturing Co., Ltd.
Dacheng County Lide Anticorrosion Insulation Equipment Co., Ltd.
fujimi co., ltd.
Guangdong Petroleum and Fine Chemicals Research Institute
Nanjing Lishui High-tech Venture Capital Management Co., Ltd.
Jiaxing Geek Travel Products Co., Ltd.
China Shipbuilding Industry Corporation 710 Research Institute
Vivo Mobile Communication Co., Ltd.
Guangdong Power Grid Co., Ltd. Foshan Power Supply Bureau
PLA National University of Defense Technology
Joseph Louis Terry
Beijing University
Beihang University
Huawei Technologies Co., Ltd
Huangshan Shandong Anxin High Energy Technology Co., Ltd.
Wenzhou Wangmaxing Food Co., Ltd.
Oujiang College of Wenzhou University
Institute of Wood Industry, Chinese Academy of Forestry
Nanjing Saining Information Technology Co., Ltd.
Shanghai Hengrun Dasheng Biotechnology Co., Ltd.
Qingdao Haier Strauss Water Equipment Co., Ltd.
Tobacco Research Institute, Chinese Academy of Agricultural Sciences
Hubei Public Information Industry Co., Ltd.
He Hai University
Shanghai Deyi Chemical Co., Ltd.
Shan Dong University
Chengdu Yuanshan Boqiao Biotechnology Co., Ltd.
Qualcomm Incorporated
Hefei BOE Optoelectronics Technology Co., Ltd.
Ningbo Fangtai Kitchenware Co., Ltd.
Anhui Degao Food Co., Ltd.
Jiangsu Kronos Precision Materials Co., Ltd.
Kong Xiangyang
Wuhu Lavender Intellectual Property Operation Co., Ltd.
Foshan Shunde Midea Electric Heating Appliance Manufacturing Co., Ltd.
Beijing Century Golden Crocodile Building Decoration Co., Ltd.
Dongyang Zhongsheng Construction Engineering Co., Ltd.
Chengdu Dekeli Polymer Materials Co., Ltd.
CCCC Highway Long Bridge Construction National Engineering Research Center Co., Ltd.
Zhejiang Yiming Technology Co., Ltd.
Anhui Hangyi Metal Products Processing Co., Ltd.
Wuhan Marine Machinery Co., Ltd.
Datang Mobile Communication Equipment Co., Ltd.
Guilin University of Technology
Beijing Institute of Technology
Honda Access Co., Ltd.
Xiamen Yifanda New Material Co., Ltd.
Zhongtian Iron and Steel Group Co., Ltd.
Jiayirong Polymer (Shanghai) Co., Ltd.
Zhangzhou Pengshuo Bamboo Products Co., Ltd.
South China University of Technology
Macronix Electronics Co., Ltd.
Guangzhou Keyu Robot Co., Ltd.
Shanghai Tianma Organic Light Emitting Display Technology Co., Ltd.
Guangdong Xinghui Precision Manufacturing Co., Ltd.
Wuhan Huaxing Optoelectronics Semiconductor Display Technology Co., Ltd.
Panasonic Intellectual Property Management Co., Ltd.
Shanghai Taiqian Electronics Co., Ltd.
Shanghai Hehui Optoelectronics Co., Ltd.
Wang Rui
Beijing Children's Hospital Affiliated to Capital Medical University
Apple
China National Petroleum Corporation
China Pharmaceutical University
Eco-Environmental Research Center, Chinese Academy of Sciences
University of Science and Technology Beijing
Haier Smart Home Co., Ltd.
Intel Corporation
Shanghai Langyin Pressure Vessel Co., Ltd.
Zhongshan Daaihua Sanitary Ware Co., Ltd.
Kaiwo New Energy Vehicle Group Co., Ltd.
Anhui University of Technology
China Railway Construction High-tech Equipment Co., Ltd.
Hyundai Motor Co., Ltd.
East China University of Science and Technology
BOE Technology Group Co., Ltd.
CRRC Zhuzhou Electric Locomotive Co., Ltd.
Zhejiang University
Promote Tai Precision (Shenzhen) Co., Ltd.
Midea Group Co., Ltd.
Huawei Technologies Co., Ltd
China Mobile Communications Group Zhejiang Co., Ltd.
Zhejiang Yunda Wind Power Co., Ltd.
Institute of Computing Technology, Chinese Academy of Sciences
Shanghai Haoya Electromechanical Co., Ltd.
Ruikang Hospital Affiliated to Guangxi University of Traditional Chinese Medicine
taiwan integrated circuit manufacturing co., ltd.
Jianhu Tengchi Travel Products Co., Ltd.
JET Co. , Ltd.
Wuhan Lanling Yingcai Technology Co., Ltd.
Jiangxi Guoxuan Radio and Television Technology Co., Ltd.
Huangshan Qiangli Chemical Co., Ltd.
Anhui Agricultural University
Jiangsu Carbon Valley 2D World Technology Co., Ltd.
Research Institute of Yibin University of Electronic Science and Technology
Alibaba (China) Co., Ltd.
China Telecom Corporation Limited
Ninth People's Hospital Affiliated to Shanghai Jiaotong University School of Medicine
Jiangsu Lianzhu Industrial Co., Ltd.
Tianjin Insuccess Technology Development Co., Ltd.
Wu Dingcheng
ZTE Corporation
Wuhan Chongyuan Furnace Engineering Technology Service Co., Ltd.
Beijing Jianlei International Decoration Engineering Co., Ltd.
Sumitomo Heavy Industries, Ltd.
Suzhou Xinmu Intellectual Property Service Co., Ltd.
Jiangxi Jiangtungsten Cemented Carbide Co., Ltd.
Beijing Kaidefu Hydraulic Technology Co., Ltd.
Guilin University of Electronic Technology
Ruian Yali Auto Parts Co., Ltd.
Zhuhai Gree Electric Appliances Co., Ltd.
Liu Xi
Beijing University
Lanzhou Institute of Animal Husbandry and Veterinary Medicine, Chinese Academy of Agricultural Sciences
Sichuan University
Huawei Technologies Co., Ltd
Shanghai Jiefang Information Technology Co., Ltd.
Ray Search Laboratories
Shenzhen Huiankang Technology Co., Ltd.
Xi'an Jiaotong University
Dai Qingtao
State Grid Corporation
Shougang Shuicheng Iron and Steel (Group) Saide Construction Co., Ltd.
Maanshan Iron and Steel Co., Ltd.
Shanxi Bionic and Environmental Protection Technology Co., Ltd.
China Railway Construction High-tech Equipment Co., Ltd.
Southwest University
Kaneka Co., Ltd.
Sichuan Normal University
Shaoxing Sanjie Textile Printing and Dyeing Co., Ltd.
Tencent Technology (Shenzhen) Co., Ltd.
OPPO Guangdong Mobile Communication Co., Ltd.
Jiangsu Rongze Information Technology Co., Ltd.
Zhengzhou Songqilai Trading Co., Ltd.
MCC CCID Technology Research Center Co., Ltd.
Neo Photonics
Hebei Beijing Railway Vehicle Equipment Co., Ltd.
Taizhou University
Wuhan Huaxing Optoelectronics Semiconductor Display Technology Co., Ltd.
Xuancheng Food Source Ecological Agriculture Professional Cooperative
China Construction Second Engineering Bureau Co., Ltd.
Hubei Xinrong Kangsheng Machinery Technology Co., Ltd.
China 20th Metallurgical Group Co., Ltd.
Zhejiang Dongjin New Material Co., Ltd.
Hangzhou Weili Medical Equipment Co., Ltd.
Shanghai Jiaotong University
Zhongce Rubber Group Co., Ltd.
Tao Linmi
Jiangsu Middle Road Traffic Design and Research Institute Co., Ltd.
Beijing Institute of Technology
Harbin Institute of Technology
Beijing North Huachuang Microelectronics Equipment Co., Ltd.
Hangzhou University of Electronic Science and Technology
Tianjin Flying Technology Development Co., Ltd.
Guizhou Qianhe Logistics Co., Ltd.
Dalian University
China Shipbuilding Research Center (China Shipbuilding Industry Corporation No. 702 Research Institute)
Fuzhou University
Dongguan Shanggao Craft Packaging Products Co., Ltd.
Jinjiang Changsheng Electronic Technology Co., Ltd.
Chen Youqiang
University of Science and Technology Beijing
Sumitomo Electric Industries, Ltd.
Chery Automobile Co., Ltd.
Nanjing Huage Electric Auto Plastic Industry Co., Ltd.
Beijing University
Hangzhou Yundan Packaging Co., Ltd.
Xi'an Institute of Space Radio Technology
Suzhou Jiuwei Electric Manufacturing Co., Ltd.
Hangzhou Leshou Technology Co., Ltd.
Taizhou Xinsanhe Sanitary Ware Co., Ltd.
China Institute of Atomic Energy
Wei Yueling
Fangxian Qiyang Industry and Trade Co., Ltd.
Wacker Chemie AG
Nanjing CLP Panda Flat Panel Display Technology Co., Ltd.
Xidian University
Tianjin Steel Research Hyde Technology Co., Ltd.
CommScope Technology LLC
Nanjing Daenmei Biotechnology Co., Ltd.
China Academy of Aerospace Electronics Technology
Sichuan Jinteng Environmental Protection Building Materials Co., Ltd.
Bazhou Liangjie Household Products Co., Ltd.
Zhuhai Youte Smart Kitchen Technology Co., Ltd.
Zhejiang University
LG Electronics Co., Ltd.
Chongqing University
Henan University of Technology
NWAFU
Zhongshan SPAS Electric Co., Ltd.
Jiaxing Flad Auto Parts Manufacturing Co., Ltd.
Enkai
China Construction Bank Corporation
tokyo oka industry co., ltd.
Shenzhen Zhongzhen Medical Technology Co., Ltd.
The Second Military Medical University of the Chinese People's Liberation Army
Chunghwa Telecom Co., Ltd.
Zhejiang University
Huizhou TCL Mobile Communication Co., Ltd.
Nanjing University
Beijing University of Chemical Technology
taiwan integrated circuit manufacturing co., ltd.
Zhaoqing Yueneng Technology Co., Ltd.
Wuhan Caisi Biotechnology Co., Ltd.
RISKANDA TECHNOLOGY DEVELOPMENT CO., LTD.
polyfluoride chemical co., ltd.
Guangzhou Shiyuan Electronic Technology Co., Ltd.
Shaanxi Light Photoelectric Materials Co., Ltd.
Huawei Technologies Co., Ltd
Shop VAC
Guangxi Zhuang Autonomous Region Environmental Protection Research Institute
Tongji University
Anhui Jian'an Fire Protection Products Manufacturing Co., Ltd.
China Resources Microelectronics (Chongqing) Co., Ltd.
Shanghai Tianma Microelectronics Co., Ltd.
Huizhou TCL Mobile Communication Co., Ltd.
Dongguan Deju Adhesive Technology Co., Ltd.
JA Solar (Yangzhou) Solar Technology Co., Ltd.
Aerospace Hongtu Information Technology Co., Ltd.
China International Marine Containers (Group) Co., Ltd.
Beijing University
Samsung Electronics Co., Ltd.
Ningbo Yijiayi Industrial Design Co., Ltd.
Shandong Haijiya Environmental Protection Equipment Co., Ltd.
Maipu Communication Technology Co., Ltd.
Hangzhou Weiqiang Medical Technology Co., Ltd.
Zhengzhou Institute of Technology
Anhui Green Light New Energy Technology Co., Ltd.
Wuhan Marine Machinery Co., Ltd.
Harbin Institute of Technology
Guangdong Medical University
Covestro Germany GmbH
Harbin Engineering University
Hefei Meiya Optoelectronics Technology Co., Ltd.
Shenzhen Founder Microelectronics Co., Ltd.
Xiamen Quality Source Technology Service Co., Ltd.
Yunnan Datang Kampo Pharmaceutical Co., Ltd.
Beijing Xiaomi Mobile Software Co., Ltd.
Shanghai Electric Power Institute
North China Electric Power University (Baoding)
Shanghai Electric Heavy Casting and Forging Co., Ltd.
Anhui Ma Dao Youran E-Commerce Co., Ltd.
Qingdao Yibai Agriculture and Fertilizer Industry Co., Ltd.
Beijing Tianshan Hi-Tech Wind Power Technology Co., Ltd.
Southwest Jiaotong University
Hunan Bio-Mechatronics Vocational and Technical College
Sichuan Changhong Electric Co., Ltd.
Shanghai University of Engineering and Technology
Mao word war
Guizhou Institute of Materials Industry Technology
Nippon Electric Co., Ltd.
Shishitongyun Technology (Chengdu) Co., Ltd.
Shenzhen Weikangbao Technology Co., Ltd.
Nanjing University of Posts and Telecommunications
Shenzhen Huaxing Optoelectronics Semiconductor Display Technology Co., Ltd.
Fiberhome Communication Technology Co., Ltd.
Jiangsu Kenai Biological Products Co., Ltd.
Si County Zhilai Machinery Technology Co., Ltd.
SMIC Manufacturing (Shaoxing) Co., Ltd.
Huizhou Huaxing Optoelectronics Technology Co., Ltd.
Changzhou Tengrui Machinery Co., Ltd.
Wuxi Longchi Fluorosilicone New Material Co., Ltd.
State Grid Corporation of China
Lanxi Putai Industry and Trade Co., Ltd.
Xi'an Zhongdian Science and Technology Research Institute of Radar Technology Collaborative Innovation Co., Ltd.
Zhongtongda (Tianjin) Technology Co., Ltd.
Northeastern University
Shanghai Huali Integrated Circuit Manufacturing Co., Ltd.
Siemens Healthineers LLC
Zhejiang University
Dai Lingling
China Academy of Launch Vehicle Technology
China Construction Installation Group Co., Ltd.
South China Normal University
Yanshan University
Nanjing University of Posts and Telecommunications
University of Electronic Science and Technology of China
Yunnan Power Grid Co., Ltd. Lincang Power Supply Bureau
Sun Yat-Sen University
Yancheng Normal University
Zhengzhou Fruit Tree Research Institute, Chinese Academy of Agricultural Sciences
Zhang Qianqian
BYD Co., Ltd.
Hunan Kasley New Materials Co., Ltd.
Sandvik Intellectual Property Co., Ltd.
Apple
University of Shanghai for Science and Technology
Royal Philips Limited
Shenzhen Tedian New Energy Co., Ltd.
Shanghai Qingshen Technology Development Co., Ltd.
Beijing University of Posts and Telecommunications
Weihai Shenghang Aquatic Technology Co., Ltd.
Ma'anshan New Union Intellectual Property Management Service Co., Ltd.
Guizhou Aerospace Fenghua Precision Equipment Co., Ltd.
Hebei Weilifang Technology Co., Ltd.
PSA Peugeot Citroen SA
Guangzhou Youwei Photoelectric Technology Co., Ltd.
Rudong Daobo Intelligent Equipment Co., Ltd.
Diya Yiwei New Energy Vehicle Co., Ltd.
Huazhong Agricultural University
Zhao Hongqian
Huacan Optoelectronics (Zhejiang) Co., Ltd.
Hunan University of Science and Technology
HPE Development LLP
Shanghai Enfujia Technology Co., Ltd.
Wangsu Technology Co., Ltd.
Shandong Normal University
Baotou Iron and Steel (Group) Co., Ltd.
Guangzhou Runhong Pharmaceutical Technology Co., Ltd.
Gloria Motor Company
Fuzhou University
Institute of Process Engineering, Chinese Academy of Sciences
Institute of Modern Physics, Chinese Academy of Sciences
Zhongyuan University of Technology
Guangdong Changhong Intelligent Manufacturing Technology Co., Ltd.
BOE Technology Group Co., Ltd.
Qingdao Haier Dishwasher Co., Ltd.
Guilin University of Technology
Panzhihua University
Guangdong Normal University of Technology
Xiamen Yingshi Sanitary Ware Co., Ltd.
Wuhu Tuoda Electronic Technology Co., Ltd.
Ricoh Co., Ltd.
Showa Denko Co., Ltd.
Institute of Process Engineering, Chinese Academy of Sciences
Hon Hai Precision Industry Co., Ltd.
Shanghai United Imaging Medical Technology Co., Ltd.
Zhanjiang Jinsheng Animal Husbandry Technology Co., Ltd.
Beijing Institute of Control and Electronic Technology
Hunan University
NEC Platform Co., Ltd.
Pegatron United Technology Co., Ltd.
Tarim University
STMicroelectronics
Institute of Automation, Chinese Academy of Sciences
Nanjing University of Posts and Telecommunications
Samsung Electronics Co., Ltd.
Beijing Tiandi Xingtong Technology Development Co., Ltd.
Hangzhou Electric Soul Network Technology Co., Ltd.
Dongguan Silver Age Optoelectronic Materials Technology Co., Ltd.
Kaneka Co., Ltd.
Ocean University of China
Shenzhen Sanlilai Smart Kitchen Co., Ltd.
Tianjin Polytechnic University
Evergrande Smart Charging Technology Co., Ltd.
Samsung Electronics Co., Ltd.
Nantong Institute of Technology
State Grid Fujian Electric Power Co., Ltd.
Shaoxing Xiuzhen New Energy Technology Co., Ltd.
Chen Jiezhen
Guangzhou Art College
Shanghai Hehui Optoelectronics Co., Ltd.
JX Metal Co., Ltd.
Guiyan Platinum Industry Co., Ltd.
South China Normal University
Anhui Medical University
